"codpro","nompro","preciopro","stockpro","fechulticompro","preulticompro","coduni","tamanopro","descripro","fotopro","idcatpro","idimp"
"","",,-2,"2001-01-01",,2,"","","",1,3
"000","CRISTIAN",,,"2001-01-01",,2,"","","",1,3
"0000","CRISTIAN",,,"2001-01-01",,2,"","","",1,3
"011F","pizza 4 estaciones familiar",370.0000,0,"2001-01-01",,4,"","","",2,0
"01F","pizza familiar cantones",490.0000,0,"2001-01-01",,4,"","","",2,0
"01G","pizza cantones grande",350.0000,0,"2001-01-01",,4,"","","",2,0
"01P","pizza cantones personal",250.0000,0,"2001-01-01",,4,"","","",2,0
"02F","pizza jamon familiar",325.0000,-1,"2001-01-01",,4,"","","",2,0
"02G","pizza jamon grande",240.0000,-3,"2001-01-01",,4,"","","",2,0
"02P","pizza jamon personal",150.0000,,"2001-01-01",,4,"","","",2,0
"03F","pizza peperoni familiar",345.0000,0,"2001-01-01",,4,"","","",2,0
"03FS","pizza peperoni supre familiar",345.0000,-1,"2001-01-01",,4,"","","",2,0
"03G","pizza peperoni grande",260.0000,0,"2001-01-01",,4,"","","",2,0
"03GS","pizza peperoni supre grande",260.0000,-1,"2001-01-01",,4,"","","",2,0
"03P","pizza peperoni personal",160.0000,0,"2001-01-01",,4,"","","",2,0
"03PS","pizza peperoni supre personal",160.0000,,"2001-01-01",,4,"","","",2,0
"04F","pizza camaron familiar",525.0000,0,"2001-01-01",,4,"","","",2,0
"04G","pizza camaron grande",375.0000,0,"2001-01-01",,4,"","","",2,0
"04P","pizza camaron personal",250.0000,,"2001-01-01",,4,"","","",2,0
"05F","pizza hawaiana familiar",345.0000,0,"2001-01-01",,4,"","","",2,0
"05G","pizza hawaiana grande",260.0000,0,"2001-01-01",,4,"","","",2,0
"05P","pizza hawaiana personal",170.0000,0,"2001-01-01",,4,"","","",2,0
"06F","pizza pollo familiar",340.0000,-1,"2001-01-01",,4,"","","",2,0
"06G","pizza pollo grande",255.0000,-1,"2001-01-01",,4,"","","",2,0
"06P","pizza pollo personal",170.0000,,"2001-01-01",,4,"","","",2,0
"07F","pizza vegetariana familiar",345.0000,,"2001-01-01",,4,"","","",2,0
"07G","pizza vegetariana grande",260.0000,,"2001-01-01",,4,"","","",2,0
"07P","pizza vegetariana personal",160.0000,0,"2001-01-01",,4,"","","",2,0
"08F","pizza margarita familiar",295.0000,,"2001-01-01",,4,"","","",2,0
"08G","pizza margarita grande",230.0000,0,"2001-01-01",,4,"","","",2,0
"08P","pizza margarita personal",145.0000,0,"2001-01-01",,4,"","","",2,0
"09F","pizza champiñon familiar",345.0000,,"2001-01-01",,4,"","","",2,0
"09G","pizza champiñon grande",260.0000,,"2001-01-01",,4,"","","",2,0
"09P","pizza champiñon personal",160.0000,0,"2001-01-01",,4,"","","",2,0
"10","medio Camaron Empanizado",145.0000,-41,"2001-01-01",,2,"","","",2,3
"10AM","medio camaron ajillo",145.0000,,"2001-01-01",,4,"","","",2,0
"10F","pizza queso familiar",295.0000,0,"2001-01-01",,4,"","","",2,0
"10G","pizza queso grande",230.0000,0,"2001-01-01",,4,"","","",2,0
"10P","pizza queso personal",145.0000,0,"2001-01-01",,4,"","","",2,0
"11","Sopa Palacio China ",170.0000,-14,"2001-01-01",,2,"","","",2,3
"11M","Media Sopa Palacio China",110.0000,-25,"2001-01-01",,2,"","","",2,3
"11N","caracol al ajillo normal",400.0000,,"2001-01-01",,2,"","","",2,0
"11P","caracol al ajillo personal",255.0000,,"2001-01-01",,2,"","","",2,0
"12","Sopa Palacio China (4unds de wantan)",195.0000,-2,"2001-01-01",,2,"","","",2,3
"12M","media Sopa Palacio 2wtan)",145.0000,-4,"2001-01-01",,2,"","","",2,3
"13","Sopa Pollo con Alga China",135.0000,0,"2001-01-01",,2,"","","",2,3
"13M","media Sopa Pollo Alga china",90.0000,0,"2001-01-01",,2,"","","",2,3
"14","Sopa Wantan Frito (8unid)",150.0000,-2,"2001-01-01",,2,"","","",2,3
"14M","media Sopa Wtan frito(5uni)",90.0000,-1,"2001-01-01",,2,"","","",2,3
"15","Sopa Wantan Cosido(8unid)",150.0000,-11,"2001-01-01",,2,"","","",2,3
"15M","media Sopa wtan cocido(5uni)",90.0000,-19,"2001-01-01",,2,"","","",2,3
"16","Sopa Res con Vegetales",235.0000,0,"2001-01-01",,2,"","","",2,3
"16M","media Sopa Res Vegetal",135.0000,-3,"2001-01-01",,2,"","","",2,3
"17","Sopa Pollo con Vegetales",135.0000,-2,"2001-01-01",,2,"","","",2,3
"17M","media Sopa pollo vegetales",90.0000,-18,"2001-01-01",,2,"","","",2,3
"18","Sopa Pollo con Crema Maiz",135.0000,-3,"2001-01-01",,2,"","","",2,3
"18M","media Sopa Pollo Maiz",90.0000,0,"2001-01-01",,2,"","","",2,3
"19","Sopa de Camaron",235.0000,0,"2001-01-01",,2,"","","",2,3
"19M","media Sopa de Camaron",145.0000,-3,"2001-01-01",,2,"","","",2,3
"1AN","plato veg. agridulce normal",240.0000,,"2001-01-01",,4,"","","",2,0
"1AP","plato veg.agridulce personal",155.0000,,"2001-01-01",,4,"","","",2,0
"1N","Plato Vegetal Cosido normal",200.0000,0,"2001-01-01",,2,"","","",2,3
"1P","Plato Vegetal Cosido personal",135.0000,0,"2001-01-01",,2,"","","",2,3
"20","Sopa de Caracol",235.0000,1,"2001-01-01",,2,"","","",2,3
"20M","media Sopa de Caracol",145.0000,0,"2001-01-01",,2,"","","",2,3
"21","Sopa de Pescado",235.0000,,"2001-01-01",,2,"","","",2,3
"21M","media Sopa de Pescado",145.0000,0,"2001-01-01",,2,"","","",2,3
"22","Sopa de Mariscos",235.0000,-3,"2001-01-01",,2,"","","",2,3
"22M","media Sopa Mariscos",145.0000,-8,"2001-01-01",,2,"","","",2,3
"23","Sopa Vegetal",135.0000,,"2001-01-01",,2,"","","",2,3
"23M","media Sopa Vegetales",90.0000,0,"2001-01-01",,2,"","","",2,3
"25C","ingrediente extra",25.0000,0,"2001-01-01",,2,"","","",2,3
"2LC","2 LITROS COMBO",30.0000,0,"2001-01-01",,4,"","","",2,0
"2N","Orden Papas fritas normal",200.0000,,"2001-01-01",,2,"","","",2,3
"2P","Orden papas fritas personal",100.0000,0,"2001-01-01",,2,"","","",2,3
"333","CRISTIAN",,,"2001-01-01",,2,"","","",1,3
"3LC","3 LITROS COMBO",35.0000,0,"2001-01-01",,4,"","","",2,0
"3N","Cerdo a la plancha normal",200.0000,0,"2001-01-01",,2,"","","",2,3
"3P","Cerdo a la plancha personal",135.0000,-6,"2001-01-01",,2,"","","",2,3
"4N","Res a la Plancha normal",350.0000,0,"2001-01-01",,2,"","","",2,3
"4P","Res a la Plancha personal",235.0000,-2,"2001-01-01",,2,"","","",2,3
"5E","cremora  extra",5.0000,-110,"2001-01-01",,2,"","","",2,0
"5N","Pollo a la Plancha normal",200.0000,0,"2001-01-01",,2,"","","",2,3
"5P","Pollo a la Plancha personal",130.0000,-2,"2001-01-01",,2,"","","",2,3
"6N","Carne Pollo Empani normal",200.0000,,"2001-01-01",,2,"","","",2,3
"6P","Carne Pollo Empani personal",130.0000,-2,"2001-01-01",,2,"","","",2,3
"777","MARGARITA",,,"2001-01-01",,2,"","","",1,3
"7N","Camaron Empanizado normal",350.0000,-1,"2001-01-01",,2,"","","",2,3
"7P","Camaron Empanizado personal",235.0000,-10,"2001-01-01",,2,"","","",2,3
"80E","extra camaron 5",80.0000,-2,"2001-01-01",,2,"","","",2,0
"8M","sopa wantan cocido 5 und",90.0000,0,"2001-01-01",,2,"","","",2,0
"8N","Camaron Alajillo normal",350.0000,0,"2001-01-01",,2,"","","",2,3
"8P","Camaron Al ajillo personal",235.0000,-4,"2001-01-01",,2,"","","",2,3
"8PQ","medio camaron al ajillo",145.0000,-1,"2001-01-01",,4,"","","",2,0
"9M","medio camaron a la plancha",145.0000,0,"2001-01-01",,2,"","","",2,0
"9N","Camaron a la Plancha normal",350.0000,,"2001-01-01",,2,"","","",2,3
"9P","Camaron a la Plancha personal",235.0000,0,"2001-01-01",,2,"","","",2,3
"9PQ","medio camaron a la plancha",145.0000,0,"2001-01-01",,4,"","","",2,0
"A1","Arroz palacio pequeño",115.0000,-28,"2001-01-01",,2,"","","",2,3
"A10F","Arroz paella familiar",360.0000,0,"2001-01-01",,2,"","","",2,3
"A10N","Arroz paella normal",245.0000,0,"2001-01-01",,2,"","","",2,3
"A10P","arroz paella personal",175.0000,0,"2001-01-01",,2,"","","",2,3
"A10PQ","Arroz paella pequeño",135.0000,0,"2001-01-01",,2,"","","",2,3
"A11F","arroz camaron familiar",495.0000,-4,"2001-01-01",,2,"","","",2,3
"A11N","Arroz camaron normal",350.0000,0,"2001-01-01",,2,"","","",2,3
"A11P","Arroz camaron personal",235.0000,0,"2001-01-01",,2,"","","",2,3
"A11PQ","Arroz pequeño camaron",145.0000,0,"2001-01-01",,2,"","","",2,3
"A12F","arroz caracol familiar",495.0000,,"2001-01-01",,2,"","","",2,3
"A12N","arroz caracol normal",350.0000,,"2001-01-01",,2,"","","",2,3
"A12P","arroz caracol personal",235.0000,,"2001-01-01",,2,"","","",2,3
"A12PQ","arroz caracol pequeño",145.0000,,"2001-01-01",,2,"","","",2,3
"A13F","arroz mariscos familiar",495.0000,,"2001-01-01",,2,"","","",2,3
"A13N","arroz mariscos normal",350.0000,0,"2001-01-01",,2,"","","",2,3
"A13P","arroz mariscos personal",235.0000,-1,"2001-01-01",,2,"","","",2,3
"A13PQ","arroz mariscos pequeño",145.0000,0,"2001-01-01",,2,"","","",2,3
"A1E","arroz pollo peqeño",100.0000,0,"2001-01-01",,2,"","","",2,0
"A2","arroz palacio personal",175.0000,-4,"2001-01-01",,2,"","","",2,3
"A2E","arroz personal especial",155.0000,-3,"2001-01-01",,2,"","","",2,0
"A2N","",,,"2001-01-01",,2,"","","",1,3
"A2S","arroz personal super",140.0000,-9,"2001-01-01",,2,"","","",2,0
"A3","arroz palacio normal",255.0000,-2,"2001-01-01",,2,"","","",2,3
"A3E","arroz normal especial",225.0000,-2,"2001-01-01",,2,"","","",2,0
"A3S","arroz normal super",195.0000,-23,"2001-01-01",,2,"","","",2,0
"A4","arroz palacio familiar  ",395.0000,-4,"2001-01-01",,2,"","","",2,3
"A4E","arroz especial familiar",355.0000,0,"2001-01-01",,2,"","","",2,0
"A4S","arroz familiar super",315.0000,-4,"2001-01-01",,2,"","","",2,0
"A5","arroz palacio super familiar",780.0000,-17,"2001-01-01",,2,"","","",2,3
"A5E","arroz especial super familiar",695.0000,-6,"2001-01-01",,2,"","","",2,0
"A5S","arroz superfamil super",620.0000,-23,"2001-01-01",,2,"","","",2,0
"A6F","arroz pollo familiar",300.0000,-1,"2001-01-01",,2,"","","",2,3
"A6N","arroz pollo normal",185.0000,-11,"2001-01-01",,2,"","","",2,3
"A6P","arroz pollo personal",130.0000,-3,"2001-01-01",,2,"","","",2,3
"A6PQ","arroz pollo pequeño",100.0000,-1,"2001-01-01",,2,"","","",2,3
"A6SF","arroz  pollo super familiar",590.0000,0,"2001-01-01",,4,"","","",2,0
"A7F","arroz res familiar",495.0000,,"2001-01-01",,2,"","","",2,3
"A7N","arroz res normal",350.0000,,"2001-01-01",,2,"","","",2,3
"A7P","arroz res personal",235.0000,,"2001-01-01",,2,"","","",2,3
"A7PQ","arroz res pequeño",145.0000,,"2001-01-01",,2,"","","",2,3
"A8F","arroz cerdo familiar",320.0000,0,"2001-01-01",,2,"","","",2,3
"A8N","Arroz normal cerdo",195.0000,,"2001-01-01",,2,"","","",2,3
"A8P","Arroz cerdo personal",135.0000,,"2001-01-01",,2,"","","",2,3
"A8PQ","Arroz cerdo pequeño",110.0000,-3,"2001-01-01",,2,"","","",2,3
"A9F","Arroz yanchoy familiar",360.0000,0,"2001-01-01",,2,"","","",2,3
"A9N","Arroz yanchoy normal",245.0000,,"2001-01-01",,2,"","","",2,3
"A9P","arroz yanchoy personal",175.0000,0,"2001-01-01",,2,"","","",2,3
"A9PQ","Arroz yanchoy pequeño",120.0000,0,"2001-01-01",,2,"","","",2,3
"AB","atendio banessa",,0,"2001-01-01",,2,"","","",2,0
"AB12","alitas barbacoa 12 unid",190.0000,0,"2001-01-01",,4,"","","",2,0
"AB6","alitas barbacoa 6 unid",125.0000,0,"2001-01-01",,4,"","","",2,0
"AB9","alitas barbacoa 9 unid",150.0000,0,"2001-01-01",,4,"","","",2,0
"ABONO","abono",0.0000,0,"1000-01-01",0,1,"","","",2,0
"AC","arroz camaron super familiar",1.1000,,"2001-01-01",,2,"","","",2,0
"ADA","ATENDIO ADA",,1,"2001-01-01",,1,"","","",2,0
"ADML","adomi largo",35.0000,0,"1000-01-01",0,1,"","","",2,0
"ADOMI","adomicilio",25.0000,0,"2001-01-01",,2,"","","",1,3
"AE","ATENDIO ELIZA",,0,"2001-01-01",,2,"","","",2,0
"AE12","alitas empaniz 12 unid",190.0000,,"2001-01-01",,4,"","","",2,0
"AE6","alitas empaniz 6 unid",125.0000,0,"2001-01-01",,4,"","","",2,0
"AE9","alitas empanizadas 9 unid",150.0000,,"2001-01-01",,4,"","","",2,0
"AF12","alitas fritas 12 unid",190.0000,,"2001-01-01",,4,"","","",2,0
"AF6","alitas fritas 6 unid",125.0000,,"2001-01-01",,4,"","","",2,0
"AF9","alitas fritas 9 unid",150.0000,,"2001-01-01",,4,"","","",2,0
"AFE","arroz famil especial",355.0000,0,"2001-01-01",,2,"","","",2,0
"AFP","Arroz fami palacio",395.0000,,"2001-01-01",,2,"","","",2,0
"AFS","Arroz famil super",315.0000,,"2001-01-01",,2,"","","",2,0
"AGE","Arroz grande Especial",235.0000,,"2001-01-01",,2,"","","",2,0
"AGP","Arroz grande Palacio",275.0000,,"2001-01-01",,2,"","","",2,0
"AGS","Arroz grande super",195.0000,,"2001-01-01",,2,"","","",2,0
"AJ","ATENDIO JESICA",,-1,"2001-01-01",,2,"","","",2,0
"AK","atendio klelia",,0,"2001-01-01",,2,"","","",2,0
"AM","atendio margarita",,0,"2001-01-01",,2,"","","",2,0
"ANE","Arroz normal Especial",155.0000,,"2001-01-01",,2,"","","",2,0
"ANP","Arroz normal Palacio",175.0000,,"2001-01-01",,2,"","","",2,0
"ANS","Arroz normal super",195.0000,0,"2001-01-01",,2,"","","",2,0
"AP","Arroz palacio Personal",120.0000,0,"2001-01-01",,2,"","","",2,0
"APF","arroz primaveral familiar",435.0000,,"2001-01-01",,2,"","","",2,0
"APN","Arroz primaveral normal",295.0000,0,"2001-01-01",,2,"","","",2,0
"APP","Arroz primaveral personal",215.0000,,"2001-01-01",,2,"","","",2,3
"APSF","arroz con pollo super familiar",590.0000,0,"2001-01-01",,4,"","","",2,0
"AS","atendio sujey",,0,"2001-01-01",,2,"","","",2,0
"ASFE","arroz superfam Especial",695.0000,0,"2001-01-01",,2,"","","",2,0
"ASFP","arroz superfam Palacio",780.0000,,"2001-01-01",,2,"","","",2,0
"ASFS","arroz superfam super",620.0000,,"2001-01-01",,2,"","","",2,0
"ASP","arroz pollo pequeño",100.0000,-2,"2001-01-01",,2,"","","",2,0
"AST","ATENDIO STHEFANY",,-1,"2001-01-01",,2,"","","",2,0
"ATP","ATENDIO PAMELA",,1,"2001-01-01",,2,"","","",2,0
"B05","Te Fuze",20.0000,-67,"2001-01-01",,2,"","","",2,3
"B1.25C","banana 1.25 comer",35.0000,1,"2001-01-01",,2,"","","",2,3
"B1.25G","banana 1.25g",,-1,"2001-01-01",,4,"","","",2,0
"B1.25L","banana 1.25 llevar",27.0000,0,"2001-01-01",,2,"","","",2,3
"B2L","Banana 2 Lts llevar",38.0000,0,"2001-01-01",,2,"","","",1,3
"B2LC","banana 2lts comer",50.0000,1,"2001-01-01",,2,"","","",2,3
"B2LL","banana 2lts llevar",38.0000,0,"2001-01-01",,2,"","","",2,3
"BAG","bote agua grande",20.0000,-13,"2001-01-01",,2,"","","",2,3
"BAN","bandeja desechable",5.0000,-12,"2001-01-01",,2,"","","",2,0
"BAP","bote agua pequeño",15.0000,-37,"2001-01-01",,2,"","","",2,3
"BB","barena botella",40.0000,-262,"2001-01-01",,2,"","","",2,3
"BD","banana desechable",20.0000,-3,"2001-01-01",,4,"","","",2,0
"BDH","bolsa de hielo",20.0000,0,"2001-01-01",,2,"","","",2,0
"BDP","bolsa de pan",40.0000,-7,"2001-01-01",,2,"","","",2,3
"BE","BELKIS",,,"2001-01-01",,2,"","","",1,3
"BELKIS","BELKIS",,,"2001-01-01",,2,"","","",1,3
"BJCG","bote jalapeño chino grande",300.0000,,"2001-01-01",,4,"","","",2,0
"BJCM","bote jalapeño chile mediano",200.0000,,"2001-01-01",,4,"","","",2,0
"BJCMD","bote jalapeño chino mediano",200.0000,,"2001-01-01",,4,"","","",2,0
"BJCPC","bote jalapeño chiño pequeño",100.0000,0,"2001-01-01",,4,"","","",2,0
"BJCPQ","bote jalapeño chino pq",100.0000,0,"2001-01-01",,4,"","","",2,0
"BL","barena lata",42.0000,,"2001-01-01",,2,"","","",2,3
"BPQ","bandeja pequeña",5.0000,0,"1000-01-01",0,1,"","","",2,0
"BV","barena vidrio",40.0000,-30,"2001-01-01",,2,"","","",2,3
"C","corona",60.0000,-129,"2001-01-01",,2,"","","",2,3
"C01F","costilla cerdo verduras salsa ostra fami",450.0000,,"2001-01-01",,2,"","","",2,3
"C1","chap palacio pequeño",115.0000,2,"2001-01-01",,2,"","","",2,3
"C1.25","coca 1.25lts llevar",27.0000,0,"2001-01-01",,2,"","","",1,3
"C1.25C","coca 1.25lts comer",35.0000,6,"2001-01-01",,2,"","","",2,3
"C1.25G","coca 1.25 gratis",,-6,"2001-01-01",,4,"","","",2,0
"C1.25L","coca 1.25 llevar",27.0000,-1,"2001-01-01",,2,"","","",2,3
"C1.25LC","coca 1.25 lts comer",45.0000,0,"2001-01-01",,2,"","","",1,3
"C10F","chap suy paella familiar",360.0000,,"2001-01-01",,2,"","","",2,3
"C10N","chap suy paella normal",245.0000,0,"2001-01-01",,2,"","","",2,3
"C10P","chapsuy paella personal",175.0000,0,"2001-01-01",,2,"","","",2,3
"C10PQ","chap suy paella pequeño",135.0000,0,"2001-01-01",,2,"","","",2,3
"C11F","chapsuy familiar camaron",495.0000,,"2001-01-01",,2,"","","",2,3
"C11N","chapsuy normal camaron",350.0000,0,"2001-01-01",,2,"","","",2,3
"C11P","chapsuy personal camaron",235.0000,0,"2001-01-01",,2,"","","",2,3
"C11PQ","chapsuy pequeño camaron",145.0000,0,"2001-01-01",,2,"","","",2,3
"C12F","chapsuy con caracol familiar",495.0000,,"2001-01-01",,2,"","","",2,3
"C12N","chapsuy con caracol normal",350.0000,,"2001-01-01",,2,"","","",2,3
"C12P","chapsuy con caracol personal",235.0000,,"2001-01-01",,2,"","","",2,3
"C12PQ","chapsuy caracol pequeño",145.0000,,"2001-01-01",,2,"","","",2,3
"C13F","chapsuy mariscos familiar",495.0000,,"2001-01-01",,2,"","","",2,3
"C13N","chapsuy  mariscos normal",350.0000,,"2001-01-01",,2,"","","",2,3
"C13P","chapsuy mariscos personal",235.0000,,"2001-01-01",,2,"","","",2,3
"C13PQ","chapsuy mariscos pequeño",145.0000,,"2001-01-01",,2,"","","",2,3
"C1E","chap pollo pequeño",100.0000,0,"2001-01-01",,2,"","","",2,0
"C2","chap palacio personal",175.0000,-2,"2001-01-01",,2,"","","",2,3
"C2.25LC","coca 1.25 lts comer",45.0000,,"2001-01-01",,2,"","","",1,3
"C2E","chap personal especial",155.0000,-2,"2001-01-01",,2,"","","",2,0
"C2L","coca 2 lts llevar",38.0000,0,"2001-01-01",,2,"","","",1,3
"C2LC","coca 2 lts comer",50.0000,0,"2001-01-01",,2,"","","",2,3
"C2LL","coca 2 lrt llevar",38.0000,0,"2001-01-01",,4,"","","",2,0
"C2S","chap personal super",140.0000,-4,"2001-01-01",,2,"","","",2,0
"C3","chap palacio normal",255.0000,-1,"2001-01-01",,2,"","","",2,3
"C3E","chap especial normal",225.0000,-1,"2001-01-01",,2,"","","",2,0
"C3LC","coca 3 lts comer",65.0000,-10,"2001-01-01",,2,"","","",2,3
"C3LCE","coca 3lts empleado",52.0000,,"2001-01-01",,2,"","","",2,3
"C3LL","coca 3 lts llevar",52.0000,-8,"2001-01-01",,2,"","","",2,3
"C3LLE","coca 3lts empleado",52.0000,,"2001-01-01",,2,"","","",2,3
"C3S","chap normal super",195.0000,-8,"2001-01-01",,2,"","","",2,0
"C4","chap palacio familiar",395.0000,-7,"2001-01-01",,2,"","","",2,3
"C4E","chap especial familiar",355.0000,0,"2001-01-01",,2,"","","",2,0
"C4S","chap familiar super",315.0000,-2,"2001-01-01",,2,"","","",2,0
"C5","chap palacio super familiar",780.0000,0,"2001-01-01",,2,"","","",2,3
"C5E","chap especial super familiar",695.0000,0,"2001-01-01",,2,"","","",2,0
"C5S","chap superfam super",620.0000,-3,"2001-01-01",,2,"","","",2,0
"C6","chap suy palacio pequeño",125.0000,,"2001-01-01",,2,"","","",2,3
"C6F","chap suy con pollo familiar",300.0000,0,"2001-01-01",,2,"","","",2,3
"C6N","chap suy con pollo normal",185.0000,0,"2001-01-01",,2,"","","",2,3
"C6P","chap personal pollo",130.0000,1,"2001-01-01",,2,"","","",2,3
"C6PQ","chap pequeño pollo",100.0000,-3,"2001-01-01",,2,"","","",2,3
"C6SF","chap pollo super familiar",590.0000,,"2001-01-01",,4,"","","",2,0
"C7F","chap suy con carne de res familiar",495.0000,,"2001-01-01",,2,"","","",2,3
"C7N","chap suy con carne de res normal",350.0000,0,"2001-01-01",,2,"","","",2,3
"C7P","chapsuy con carne de res personal",235.0000,,"2001-01-01",,2,"","","",2,3
"C7PQ","chapsuy pequeño res",145.0000,0,"2001-01-01",,2,"","","",2,3
"C8F","chapsuy con cerdo familiar",320.0000,,"2001-01-01",,2,"","","",2,3
"C8N","chapsuy con cerdo normal",195.0000,,"2001-01-01",,2,"","","",2,3
"C8P","chapsuy con cerdo personal",135.0000,,"2001-01-01",,2,"","","",2,3
"C8PQ","chap suy con cerdo pequeño",110.0000,0,"2001-01-01",,2,"","","",2,3
"C9F","chap suy yanchoy familiar",360.0000,0,"2001-01-01",,2,"","","",2,3
"C9N","chap suey yanchoy normal",245.0000,0,"2001-01-01",,2,"","","",2,3
"C9P","chap yanchoy personal",175.0000,0,"2001-01-01",,2,"","","",2,3
"C9PQ","chap yanchoy pequeño",120.0000,0,"2001-01-01",,2,"","","",2,3
"CAD","canadry desechables",20.0000,-13,"2001-01-01",,4,"","","",2,0
"CAM10F","Camaron familiar hongo chino",695.0000,0,"2001-01-01",,2,"","","",2,3
"CAM10N","Camaron normal hongo chino",500.0000,,"2001-01-01",,2,"","","",2,3
"CAM10P","Camaron personal hongo chino",350.0000,,"2001-01-01",,2,"","","",2,3
"CAM10PQ","Camaron pequeño hongo chino",245.0000,0,"2001-01-01",,2,"","","",2,3
"CAM11F","Camaron familiar vegetal chino",695.0000,0,"2001-01-01",,2,"","","",2,3
"CAM11N","Camaron normal vegetal chino",500.0000,,"2001-01-01",,2,"","","",2,3
"CAM11P","Camaron personal vegetal chino",350.0000,0,"2001-01-01",,2,"","","",2,3
"CAM11PQ","Camaron pequeño vegetal chino",245.0000,0,"2001-01-01",,2,"","","",2,3
"CAM12F","camaron con chamìñon familiar",695.0000,,"2001-01-01",,2,"","","",2,0
"CAM12N","camaron con champiñon normal",500.0000,,"2001-01-01",,2,"","","",2,0
"CAM12P","camaron champiñon personal",350.0000,,"2001-01-01",,2,"","","",2,0
"CAM12PQ","camaron con champiñon pequeño",245.0000,0,"2001-01-01",,2,"","","",2,0
"CAM13F","",,,"2001-01-01",,2,"","","",2,0
"CAM13N","",,,"2001-01-01",,2,"","","",2,0
"CAM13P","",,,"2001-01-01",,2,"","","",2,0
"CAM13PQ","",,,"2001-01-01",,2,"","","",2,0
"CAM1F","camaron vegetal familiar",495.0000,0,"2001-01-01",,2,"","","",2,3
"CAM1N","camaron normal vegetal",350.0000,0,"2001-01-01",,2,"","","",2,3
"CAM1P","camaron personal vegetal",235.0000,0,"2001-01-01",,2,"","","",2,3
"CAM1PQ","Camaron Vegetal pequeño",145.0000,-2,"2001-01-01",,2,"","","",2,3
"CAM2F","camaron familiar cebolla",495.0000,,"2001-01-01",,2,"","","",2,3
"CAM2N","camaron normal cebolla",350.0000,,"2001-01-01",,2,"","","",2,3
"CAM2P","camaron personal cebolla",235.0000,,"2001-01-01",,2,"","","",2,3
"CAM2PQ","camaron pequeño cebolla",145.0000,0,"2001-01-01",,2,"","","",2,3
"CAM3F","camaron con brocoli familiar",495.0000,,"2001-01-01",,2,"","","",2,3
"CAM3N","camaron con brocoli normal",350.0000,0,"2001-01-01",,2,"","","",2,3
"CAM3P","camaron con brocoli personal",235.0000,,"2001-01-01",,2,"","","",2,3
"CAM3PQ","camaron pequeño brocoli",145.0000,-1,"2001-01-01",,2,"","","",2,3
"CAM4F","camaron familiar curry",495.0000,,"2001-01-01",,2,"","","",2,3
"CAM4N","camaron normal curry",350.0000,,"2001-01-01",,2,"","","",2,3
"CAM4P","camaron personal curry",235.0000,,"2001-01-01",,2,"","","",2,3
"CAM4PQ","camaron pequeño curry",145.0000,0,"2001-01-01",,2,"","","",2,3
"CAM5F","camaron familiar tomate",495.0000,,"2001-01-01",,2,"","","",2,3
"CAM5N","camaron normal tomate",350.0000,0,"2001-01-01",,2,"","","",2,3
"CAM5P","camaron personal tomate",235.0000,,"2001-01-01",,2,"","","",2,3
"CAM5PQ","camaron pequeño tomate",145.0000,0,"2001-01-01",,2,"","","",2,3
"CAM6F","camaron familiar chile verde",495.0000,,"2001-01-01",,2,"","","",2,3
"CAM6N","camaron normal chile verde",350.0000,,"2001-01-01",,2,"","","",2,3
"CAM6P","camaron personal chile verde",235.0000,,"2001-01-01",,2,"","","",2,3
"CAM6PQ","camaron pequeño chile verde",145.0000,,"2001-01-01",,2,"","","",2,3
"CAM7F","Camaron familiar jalapeño",495.0000,,"2001-01-01",,2,"","","",2,3
"CAM7N","Camaron normal jalapeño",350.0000,,"2001-01-01",,2,"","","",2,3
"CAM7P","Camaron personal jalapeño",235.0000,0,"2001-01-01",,2,"","","",2,3
"CAM7PQ","Camaron pequeño jalapeño",145.0000,0,"2001-01-01",,2,"","","",2,3
"CAM8F","Camaron con Salsa Agridulce familiar",495.0000,,"2001-01-01",,2,"","","",2,3
"CAM8N","Camaron agridulce normal",350.0000,0,"2001-01-01",,2,"","","",2,3
"CAM8P","Camaron agridulce personal",235.0000,0,"2001-01-01",,2,"","","",2,3
"CAM8PQ","Camaron pequeño agridulce",145.0000,0,"2001-01-01",,2,"","","",2,3
"CAM9F","Camaron familiar marañon",695.0000,,"2001-01-01",,2,"","","",2,3
